log,cleaned_log,label,stage,severity,root_cause,log_length
"2026-04-02T04:16:45.000Z ##[group]Run CI for pytorch/pytorch
2026-04-02T04:16:45.000Z Runner image: macos-latest
2026-04-02T04:16:45.000Z Language: rust
2026-04-02T04:16:45.000Z make build-ci -j4
2026-04-02T04:16:45.000Z gcc: fatal error: cannot execute 'cc1plus': No such file or directory
2026-04-02T04:16:45.000Z ##[error]Build failed with exit code 2",2026-04-02t04:16:45.000z group run ci for pytorch/pytorch 2026-04-02t04:16:45.000z runner image: macos-latest 2026-04-02t04:16:45.000z language: rust 2026-04-02t04:16:45.000z make build-ci -j4 2026-04-02t04:16:45.000z gcc: fatal,Build Failure,build,high,Compilation or packaging process failed,228.0
"2026-04-04T19:29:18.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-04T19:29:18.000Z Runner image: windows-latest
2026-04-04T19:29:18.000Z Language: node
2026-04-04T19:29:18.000Z src/cache/handler.py:349: SyntaxError: unexpected token ')'
2026-04-04T19:29:18.000Z pylint: E0001 syntax-error
2026-04-04T19:29:18.000Z ##[error]Build stopped due to syntax error",2026-04-04t19:29:18.000z group run ci for spring-projects/spring-boot 2026-04-04t19:29:18.000z runner image: windows-latest 2026-04-04t19:29:18.000z language: node 2026-04-04t19:29:18.000z src/cache/handler.py:349: syntaxerror: unexpected token 2026-04-04t19:29:18.000z pylint:,Syntax Error,build,high,Invalid code syntax detected by compiler or linter,
"2026-04-15T09:08:31.000Z ##[group]Run CI for apache/spark
2026-04-15T09:08:31.000Z Runner image: windows-latest
2026-04-15T09:08:31.000Z Language: rust
2026-04-15T09:08:31.000Z src/billing/handler.py:134: SyntaxError: unexpected token '['
2026-04-15T09:08:31.000Z pylint: E0001 syntax-error
2026-04-15T09:08:31.000Z ##[error]Build stopped due to syntax error",2026-04-15t09:08:31.000z group run ci for apache/spark 2026-04-15t09:08:31.000z runner image: windows-latest 2026-04-15t09:08:31.000z language: rust 2026-04-15t09:08:31.000z src/billing/handler.py:134: syntaxerror: unexpected token 2026-04-15t09:08:31.000z pylint:,Syntax Error,build,high,Invalid code syntax detected by compiler or linter,
"2026-04-02T12:33:58.000Z ##[group]Run CI for vercel/next.js
2026-04-02T12:33:58.000Z Runner image: macos-latest
2026-04-02T12:33:58.000Z Language: java
2026-04-02T12:33:58.000Z validating .github/workflows/ci.yml
2026-04-02T12:33:58.000Z workflow syntax error: Unexpected value 'stepz'
2026-04-02T12:33:58.000Z ##[error]Invalid workflow configuration",2026-04-02t12:33:58.000z group run ci for vercel/next.js 2026-04-02t12:33:58.000z runner image: macos-latest 2026-04-02t12:33:58.000z language: java 2026-04-02t12:33:58.000z validating .github/workflows/ci.yml 2026-04-02t12:33:58.000z workflow syntax error:,Configuration Error,build,high,Invalid workflow configuration or environment variable,257.0
"2026-04-01T19:27:15.000Z ##[group]Run CI for nodejs/node
2026-04-01T19:27:15.000Z Runner image: windows-latest
2026-04-01T19:27:15.000Z Language: go
2026-04-01T19:27:15.000Z aws secretsmanager get-secret-value --secret-id docker-token
2026-04-01T19:27:15.000Z AccessDeniedException: User is not authorized to perform secretsmanager:GetSecretValue
2026-04-01T19:27:15.000Z ##[error]permission denied while accessing deployment secret",2026-04-01t19:27:15.000z group run ci for nodejs/node 2026-04-01t19:27:15.000z runner image: windows-latest 2026-04-01t19:27:15.000z language: go 2026-04-01t19:27:15.000z aws secretsmanager get-secret-value --secret-id docker-token 2026-04-01t19:27:15.000z,Permission Error,deploy,high,"Token, role, or filesystem permission denied",256.0
"2026-04-11T17:30:53.000Z ##[group]Run CI for django/django
2026-04-11T17:30:53.000Z Runner image: windows-latest
2026-04-11T17:30:53.000Z Language: rust
2026-04-11T17:30:53.000Z FAIL tests/integration/test_auth_flow.py
2026-04-11T17:30:53.000Z AssertionError: expected 4 but received 11
2026-04-11T17:30:53.000Z ##[error]Test suite failed with exit code 1",2026-04-11t17:30:53.000z group run ci for django/django 2026-04-11t17:30:53.000z runner image: windows-latest 2026-04-11t17:30:53.000z language: rust 2026-04-11t17:30:53.000z fail tests/integration/test_auth_flow.py 2026-04-11t17:30:53.000z assertionerror: expected 4,Test Failure,test,medium,Assertion mismatch in CI test suite,
"2026-04-01T11:52:26.000Z ##[group]Run CI for nodejs/node
2026-04-01T11:52:26.000Z Runner image: macos-latest
2026-04-01T11:52:26.000Z Language: node
2026-04-01T11:52:26.000Z ERROR: Module not found: Cannot resolve 'torch'
2026-04-01T11:52:26.000Z npm ERR! code E404
2026-04-01T11:52:26.000Z ##[error]Dependency installation failed",2026-04-01t11:52:26.000z group run ci for nodejs/node 2026-04-01t11:52:26.000z runner image: macos-latest 2026-04-01t11:52:26.000z language: node 2026-04-01t11:52:26.000z error: module not found: cannot resolve,Dependency Error,build,high,Missing package or unresolved module dependency,210.0
"2026-04-11T11:58:49.7890375Z ##[error]The operation was canceled. 2026-04-11T11:54:40.1696122Z [36;1m  echo ""ERROR: parse_ref.py not found"" >&2[0m 2026-04-11T11:57:37.1952932Z   continue_on_error: false 2026-04-11T11:57:49.1218362Z /home/ec2-user/.local/lib/python3.9/site-packages/fairscale/optim/oss.py:48: UserWarning: Failed to initialize NumPy: _ARRAY_API not found (Triggered internally at ../torch/csrc/utils/tensor_numpy.cpp:84.) 2026-04-11T11:57:50.0773045Z     raise child_exception_type(errno_num, err_msg, err_filename)",tz errorthe operation was canceled tz,Runtime Error,build,medium,auto-detected,37.0
"2026-04-12T02:33:15.000Z ##[group]Run CI for angular/angular
2026-04-12T02:33:15.000Z Runner image: ubuntu-latest
2026-04-12T02:33:15.000Z Language: python
2026-04-12T02:33:15.000Z make build-ci -j4
2026-04-12T02:33:15.000Z gcc: fatal error: cannot execute 'cc1plus': No such file or directory
2026-04-12T02:33:15.000Z ##[error]Build failed with exit code 2",2026-04-12t02:33:15.000z group run ci for angular/angular 2026-04-12t02:33:15.000z runner image: ubuntu-latest 2026-04-12t02:33:15.000z language: python 2026-04-12t02:33:15.000z make build-ci -j4 2026-04-12t02:33:15.000z gcc: fatal,Build Failure,build,high,Compilation or packaging process failed,
"2026-04-01T14:54:22.000Z ##[group]Run CI for django/django
2026-04-01T14:54:22.000Z Runner image: macos-latest
2026-04-01T14:54:22.000Z Language: go
2026-04-01T14:54:22.000Z helm upgrade --install api ./charts/api
2026-04-01T14:54:22.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-01T14:54:22.000Z ##[error]Deployment failed in production stage",2026-04-01t14:54:22.000z group run ci for django/django 2026-04-01t14:54:22.000z runner image: macos-latest 2026-04-01t14:54:22.000z language: go 2026-04-01t14:54:22.000z helm upgrade --install api ./charts/api 2026-04-01t14:54:22.000z,Deployment Error,deploy,high,Release or deployment command failed,235.0
