log,cleaned_log,label,stage,severity,root_cause
"2026-04-01T07:02:08.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T07:02:08.000Z Runner image: ubuntu-latest
2026-04-01T07:02:08.000Z Language: java
2026-04-01T07:02:08.000Z FAIL tests/integration/test_auth_flow.py
2026-04-01T07:02:08.000Z AssertionError: expected 9 but received 12
2026-04-01T07:02:08.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:02:08.000z group run ci for tensorflow/tensorflow 2026-04-01t07:02:08.000z runner image: ubuntu-latest 2026-04-01t07:02:08.000z language: java 2026-04-01t07:02:08.000z fail tests/integration/test_auth_flow.py 2026-04-01t07:02:08.000z assertionerror: expected 9,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:02:13.000Z ##[group]Run CI for angular/angular
2026-04-01T07:02:13.000Z Runner image: windows-latest
2026-04-01T07:02:13.000Z Language: python
2026-04-01T07:02:13.000Z FAIL packages/react-dom/src/__tests__/hydration.test.js
2026-04-01T07:02:13.000Z AssertionError: expected 9 but received 20
2026-04-01T07:02:13.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:02:13.000z group run ci for angular/angular 2026-04-01t07:02:13.000z runner image: windows-latest 2026-04-01t07:02:13.000z language: python 2026-04-01t07:02:13.000z fail packages/react-dom/src/__tests__/hydration.test.js 2026-04-01t07:02:13.000z assertionerror: expected 9,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:12:14.000Z ##[group]Run CI for facebook/react
2026-04-01T07:12:14.000Z Runner image: macos-latest
2026-04-01T07:12:14.000Z Language: node
2026-04-01T07:12:14.000Z FAIL internal/runtime/retry_test.go
2026-04-01T07:12:14.000Z AssertionError: expected 10 but received 15
2026-04-01T07:12:14.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:12:14.000z group run ci for facebook/react 2026-04-01t07:12:14.000z runner image: macos-latest 2026-04-01t07:12:14.000z language: node 2026-04-01t07:12:14.000z fail internal/runtime/retry_test.go 2026-04-01t07:12:14.000z assertionerror: expected 10,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:12:09.000Z ##[group]Run CI for facebook/react
2026-04-01T07:12:09.000Z Runner image: ubuntu-latest
2026-04-01T07:12:09.000Z Language: go
2026-04-01T07:12:09.000Z FAIL packages/react-dom/src/__tests__/hydration.test.js
2026-04-01T07:12:09.000Z AssertionError: expected 6 but received 12
2026-04-01T07:12:09.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:12:09.000z group run ci for facebook/react 2026-04-01t07:12:09.000z runner image: ubuntu-latest 2026-04-01t07:12:09.000z language: go 2026-04-01t07:12:09.000z fail packages/react-dom/src/__tests__/hydration.test.js 2026-04-01t07:12:09.000z assertionerror: expected 6,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:15:38.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T07:15:38.000Z Runner image: windows-latest
2026-04-01T07:15:38.000Z Language: python
2026-04-01T07:15:38.000Z FAIL src/test/java/com/example/ServiceTest.java
2026-04-01T07:15:38.000Z AssertionError: expected 1 but received 18
2026-04-01T07:15:38.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:15:38.000z group run ci for tensorflow/tensorflow 2026-04-01t07:15:38.000z runner image: windows-latest 2026-04-01t07:15:38.000z language: python 2026-04-01t07:15:38.000z fail src/test/java/com/example/servicetest.java 2026-04-01t07:15:38.000z assertionerror: expected 1,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:18:53.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-01T07:18:53.000Z Runner image: ubuntu-latest
2026-04-01T07:18:53.000Z Language: go
2026-04-01T07:18:53.000Z FAIL compiler/src/tests/error_reporting.rs
2026-04-01T07:18:53.000Z AssertionError: expected 6 but received 20
2026-04-01T07:18:53.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:18:53.000z group run ci for spring-projects/spring-boot 2026-04-01t07:18:53.000z runner image: ubuntu-latest 2026-04-01t07:18:53.000z language: go 2026-04-01t07:18:53.000z fail compiler/src/tests/error_reporting.rs 2026-04-01t07:18:53.000z assertionerror: expected 6,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:14:49.000Z ##[group]Run CI for vercel/next.js
2026-04-01T07:14:49.000Z Runner image: macos-latest
2026-04-01T07:14:49.000Z Language: python
2026-04-01T07:14:49.000Z FAIL src/test/java/com/example/ServiceTest.java
2026-04-01T07:14:49.000Z AssertionError: expected 2 but received 14
2026-04-01T07:14:49.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:14:49.000z group run ci for vercel/next.js 2026-04-01t07:14:49.000z runner image: macos-latest 2026-04-01t07:14:49.000z language: python 2026-04-01t07:14:49.000z fail src/test/java/com/example/servicetest.java 2026-04-01t07:14:49.000z assertionerror: expected 2,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:24:10.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T07:24:10.000Z Runner image: windows-latest
2026-04-01T07:24:10.000Z Language: java
2026-04-01T07:24:10.000Z FAIL src/test/java/com/example/ServiceTest.java
2026-04-01T07:24:10.000Z AssertionError: expected 6 but received 14
2026-04-01T07:24:10.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:24:10.000z group run ci for tensorflow/tensorflow 2026-04-01t07:24:10.000z runner image: windows-latest 2026-04-01t07:24:10.000z language: java 2026-04-01t07:24:10.000z fail src/test/java/com/example/servicetest.java 2026-04-01t07:24:10.000z assertionerror: expected 6,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:18:34.000Z ##[group]Run CI for microsoft/vscode
2026-04-01T07:18:34.000Z Runner image: macos-latest
2026-04-01T07:18:34.000Z Language: python
2026-04-01T07:18:34.000Z FAIL packages/react-dom/src/__tests__/hydration.test.js
2026-04-01T07:18:34.000Z AssertionError: expected 3 but received 18
2026-04-01T07:18:34.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:18:34.000z group run ci for microsoft/vscode 2026-04-01t07:18:34.000z runner image: macos-latest 2026-04-01t07:18:34.000z language: python 2026-04-01t07:18:34.000z fail packages/react-dom/src/__tests__/hydration.test.js 2026-04-01t07:18:34.000z assertionerror: expected 3,Test Failure,test,medium,Assertion mismatch in CI test suite
"2026-04-01T07:30:53.000Z ##[group]Run CI for django/django
2026-04-01T07:30:53.000Z Runner image: windows-latest
2026-04-01T07:30:53.000Z Language: rust
2026-04-01T07:30:53.000Z FAIL tests/integration/test_auth_flow.py
2026-04-01T07:30:53.000Z AssertionError: expected 4 but received 11
2026-04-01T07:30:53.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:30:53.000z group run ci for django/django 2026-04-01t07:30:53.000z runner image: windows-latest 2026-04-01t07:30:53.000z language: rust 2026-04-01t07:30:53.000z fail tests/integration/test_auth_flow.py 2026-04-01t07:30:53.000z assertionerror: expected 4,Test Failure,test,medium,Assertion mismatch in CI test suite
